type,address,name,baseUri,deployer,timestamp
"OpenEditionERC721FlatFee","0x0941a02a10ef9Ec8D7E90c4F81e97289CD35a71B","MyCollection2","ipfs://QmdHaufjUDJgbZzZ4eFCjtJQyeQpuNwoEvqLm5rq159vC8/6","0xA95a09520AF0f1BBEf810a47560C79Affe75AA9f","2026-01-29T00:24:58.323Z"
"OpenEditionERC721FlatFee","0x062df446fFe92E71CF62130a22f56dD2C1c30f2c","MyCollection2","ipfs://QmdHaufjUDJgbZzZ4eFCjtJQyeQpuNwoEvqLm5rq159vC8/6","0xA95a09520AF0f1BBEf810a47560C79Affe75AA9f","2026-01-29T00:42:51.481Z"
"OpenEditionERC721FlatFee","0x37F0AC373d79166Ac02497102D26BE84a28D3b22","MyCollection31","ipfs://QmdHaufjUDJgbZzZ4eFCjtJQyeQpuNwoEvqLm5rq159vC8/6","0xA95a09520AF0f1BBEf810a47560C79Affe75AA9f","2026-01-29T00:48:11.464Z"
