type,address,name,baseUri,deployer,timestamp
"DropERC721","0xB0a2513c2e0B8712218D7517e8878EdF35AC0E49","Creator DropERC721C Rarible","ipfs://QmdHaufjUDJgbZzZ4eFCjtJQyeQpuNwoEvqLm5rq159vC8/5","0xA95a09520AF0f1BBEf810a47560C79Affe75AA9f","2026-01-22T08:00:49.076Z"
"OpenEditionERC721C","0xAe18f891528742a3b6C84FC2476bA924416d30A2","Open Edition ERC721C","ipfs://QmdHaufjUDJgbZzZ4eFCjtJQyeQpuNwoEvqLm5rq159vC8/6","0xA95a09520AF0f1BBEf810a47560C79Affe75AA9f","2026-01-22T08:13:05.171Z"
